Date;Price
03/06/24;29500
10/06/24;28400
17/06/24;28900
24/06/24;28750
01/07/24;28650
08/07/24;28650
15/07/24;28500
22/07/24;28750
29/07/24;28750
05/08/24;28250
12/08/24;27750
19/08/24;26900
26/08/24;27150
02/09/24;27000
09/09/24;26150
16/09/24;26650
23/09/24;27650
30/09/24;27650
07/10/24;27650
14/10/24;27650
21/10/24;27400
28/10/24;27400
04/11/24;27150
11/11/24;27150
18/11/24;26900
25/11/24;26900
02/12/24;27150
09/12/24;29150
16/12/24;31400
23/12/24;31750
30/12/24;32000
06/01/25;30900
13/01/25;28750
20/01/25;28500
27/01/25;28150
03/02/25;27750
10/02/25;28400
17/02/25;28650
24/02/25;30000
03/03/25;29750
